episode,reward,epsilon,eval_mean,eval_std
0,-24.63720000000001,0.21899999999999992,-4.301554999999997,0.6405238122817951
1,-21.123537500000005,0.12299999999999983,nan,nan
2,-15.86025000000001,0.05,nan,nan
3,-14.566512499999996,0.05,nan,nan
4,-14.067612499999996,0.05,nan,nan
5,-12.225525000000005,0.05,nan,nan
6,-15.0643125,0.05,nan,nan
7,-15.549612500000007,0.05,nan,nan
8,-13.792287499999999,0.05,nan,nan
9,-15.5623375,0.05,nan,nan
10,-16.489087499999997,0.05,nan,nan
11,-15.274975,0.05,nan,nan
12,-15.738937500000011,0.05,nan,nan
13,-15.028287500000005,0.05,nan,nan
14,-17.0665,0.05,nan,nan
15,-17.951325000000004,0.05,nan,nan
16,-13.764962500000005,0.05,nan,nan
17,-16.563487499999997,0.05,nan,nan
18,-13.556812500000001,0.05,nan,nan
19,-16.9125625,0.05,nan,nan
20,-15.7164625,0.05,nan,nan
21,-16.066550000000003,0.05,nan,nan
22,-16.780300000000004,0.05,nan,nan
23,-14.98982499999999,0.05,nan,nan
24,-15.634137499999994,0.05,nan,nan
25,-17.61563749999999,0.05,nan,nan
26,-16.781862500000003,0.05,nan,nan
27,-14.3475875,0.05,nan,nan
28,-13.991112499999998,0.05,nan,nan
29,-15.073412500000002,0.05,nan,nan
30,-15.848375000000008,0.05,nan,nan
