episode,reward,epsilon,eval_mean,eval_std
0,-12.554837499999989,0.1998272,-3.030267499999994,0.6320126416160493
1,-22.21179999999999,0.1996544,nan,nan
2,-20.580287499999994,0.1994816,nan,nan
3,-17.889587499999994,0.1993088,nan,nan
4,-15.381512499999996,0.199136,nan,nan
5,-15.340212499999996,0.1989632,nan,nan
6,-19.372637499999986,0.1987904,nan,nan
7,-21.828837499999995,0.1986176,nan,nan
8,-15.389899999999995,0.1984448,nan,nan
9,-10.433749999999987,0.198272,nan,nan
10,-18.773387499999988,0.1980992,nan,nan
11,-18.591174999999996,0.1979264,nan,nan
12,-15.380987499999993,0.1977536,nan,nan
13,-13.067649999999988,0.1975808,nan,nan
14,-20.479287499999998,0.197408,nan,nan
15,-19.49469999999999,0.1972352,nan,nan
16,-17.901687499999994,0.1970624,nan,nan
17,-15.855437499999985,0.1968896,nan,nan
18,-21.592412499999995,0.1967168,nan,nan
19,-13.762162499999988,0.19654400000000002,nan,nan
20,-21.019625,0.19637120000000002,-50.07627499999993,0.303760084914885
21,-34.95057500000001,0.19619840000000002,nan,nan
22,-30.743049999999997,0.19602560000000002,nan,nan
23,-22.925274999999992,0.19585280000000002,nan,nan
24,-19.257724999999994,0.19568000000000002,nan,nan
25,-17.825475000000004,0.19550720000000002,nan,nan
26,-19.594349999999995,0.19533440000000002,nan,nan
27,-21.315825,0.19516160000000002,nan,nan
28,-15.861324999999995,0.19498880000000002,nan,nan
29,-20.765725000000007,0.19481600000000002,nan,nan
30,-23.26488749999999,0.19464320000000002,nan,nan
31,-17.973424999999995,0.19447040000000002,nan,nan
32,-15.260300000000006,0.19429760000000001,nan,nan
33,-22.097324999999998,0.19412480000000001,nan,nan
34,-11.127662499999996,0.193952,nan,nan
35,-19.62026250000001,0.1937792,nan,nan
36,-14.966774999999991,0.1936064,nan,nan
37,-15.687449999999991,0.1934336,nan,nan
38,-16.88017499999999,0.1932608,nan,nan
39,-19.3120875,0.193088,nan,nan
40,-13.733724999999987,0.1929152,-2.0086049999999998,0.44139501438620354
41,-20.2483125,0.1927424,nan,nan
42,-15.466299999999993,0.1925696,nan,nan
43,-20.963074999999993,0.1923968,nan,nan
44,-15.528099999999991,0.192224,nan,nan
45,-13.452649999999998,0.1920512,nan,nan
46,-13.467449999999989,0.1918784,nan,nan
47,-21.0641875,0.1917056,nan,nan
48,-18.762412499999993,0.1915328,nan,nan
49,-12.401625000000006,0.19136,nan,nan
50,-13.583449999999996,0.1911872,nan,nan
51,-15.202712499999995,0.1910144,nan,nan
52,-10.630549999999989,0.1908416,nan,nan
53,-23.092787499999993,0.1906688,nan,nan
54,-15.277512499999991,0.190496,nan,nan
55,-14.051537499999995,0.1903232,nan,nan
56,-18.599699999999995,0.1901504,nan,nan
57,-14.589299999999993,0.18997760000000002,nan,nan
58,-17.897799999999993,0.1898048,nan,nan
59,-21.212687499999994,0.18963200000000002,nan,nan
60,-15.857549999999993,0.18945920000000002,-2.3879625,0.4582651107710453
61,-12.47769999999999,0.18928640000000002,nan,nan
62,-14.562837499999997,0.18911360000000002,nan,nan
63,-20.6122625,0.18894080000000002,nan,nan
64,-12.975062499999996,0.18876800000000002,nan,nan
65,-12.641424999999996,0.18859520000000002,nan,nan
66,-11.64757499999999,0.18842240000000002,nan,nan
67,-16.39174999999999,0.18824960000000002,nan,nan
68,-15.47278749999999,0.18807680000000002,nan,nan
