episode,reward,epsilon,eval_mean,eval_std
0,-17.123175000000018,0.1983500000000002,-2.5899775000000003,0.33404903554717963
1,-17.670525000000012,0.19355000000000072,nan,nan
2,-13.907174999999985,0.18875000000000125,nan,nan
3,-19.920087499999994,0.18395000000000178,nan,nan
4,-20.99988750000001,0.1791500000000023,nan,nan
5,-17.50003750000001,0.17435000000000284,nan,nan
6,-23.5803,0.16955000000000336,nan,nan
7,-31.662312500000006,0.1647500000000039,nan,nan
8,-27.304125000000006,0.15995000000000442,nan,nan
9,-24.913549999999997,0.15515000000000495,nan,nan
10,-26.447924999999977,0.15035000000000548,nan,nan
11,-21.197124999999996,0.145550000000006,nan,nan
12,-36.67479999999999,0.14075000000000654,nan,nan
13,-21.157200000000007,0.13595000000000707,nan,nan
14,-18.997749999999993,0.1311500000000076,nan,nan
15,-14.172012499999997,0.12635000000000812,nan,nan
16,-23.806587499999996,0.12155000000000865,nan,nan
17,-24.1705375,0.11675000000000918,nan,nan
18,-26.869149999999994,0.11195000000000971,nan,nan
19,-31.1849,0.10715000000001024,nan,nan
20,-22.68386249999999,0.10235000000001077,nan,nan
21,-27.591112499999998,0.0975500000000113,nan,nan
22,-27.434600000000003,0.09275000000001182,nan,nan
23,-22.6858875,0.08795000000001235,nan,nan
24,-17.461262499999997,0.08315000000001288,nan,nan
25,-23.15827499999999,0.07835000000001341,nan,nan
26,-15.078487500000001,0.07355000000001394,nan,nan
27,-17.873387499999993,0.06875000000001447,nan,nan
28,-17.197287499999995,0.063950000000015,nan,nan
29,-15.450287500000004,0.05915000000001506,nan,nan
30,-20.138837500000005,0.05435000000001492,nan,nan
31,-17.748737500000015,0.05,nan,nan
32,-27.42917499999999,0.05,nan,nan
33,-21.441475000000008,0.05,nan,nan
34,-18.748287499999993,0.05,nan,nan
35,-22.102825000000006,0.05,nan,nan
36,-21.479262499999997,0.05,nan,nan
37,-20.249549999999996,0.05,nan,nan
38,-23.574025,0.05,nan,nan
39,-19.770425000000003,0.05,nan,nan
40,-28.158462500000013,0.05,nan,nan
41,-26.578537500000003,0.05,nan,nan
42,-16.740837499999998,0.05,nan,nan
43,-32.23743750000001,0.05,nan,nan
44,-15.928837500000002,0.05,nan,nan
45,-18.048400000000004,0.05,nan,nan
46,-13.791537500000002,0.05,nan,nan
47,-14.460499999999996,0.05,nan,nan
48,-13.299400000000011,0.05,nan,nan
49,-22.523375000000005,0.05,nan,nan
50,-20.916924999999996,0.05,-3.1019700000000023,0.5433868655594289
51,-22.4729875,0.05,nan,nan
52,-13.4841875,0.05,nan,nan
53,-16.27719999999999,0.05,nan,nan
