episode,reward,eval_mean,eval_std,loss
197,-4.6887625,nan,nan,
0,-6.085612499999997,-2.838022500000001,0.599489597094898,
198,-4.3283125000000044,nan,nan,
1,-10.24088750000001,nan,nan,
199,-4.941500000000002,nan,nan,
2,-11.039112500000002,nan,nan,
3,-9.771987500000002,nan,nan,
200,-4.195962499999999,-3.121732500000003,0.7534060355561936,
4,-6.66596250000001,nan,nan,
201,-5.133525000000001,nan,nan,
5,-7.645812500000002,nan,nan,
202,-6.365137500000001,nan,nan,
6,-15.281162499999997,nan,nan,
203,-6.784850000000003,nan,nan,
7,-9.061350000000006,nan,nan,
204,-4.151424999999998,nan,nan,
8,-7.649062500000007,nan,nan,
205,-4.867074999999999,nan,nan,
9,-9.513887500000001,nan,nan,
206,-3.5153000000000025,nan,nan,
10,-8.313462499999998,nan,nan,
207,-2.473112500000001,nan,nan,
11,-7.125725000000001,nan,nan,
208,-5.630987499999998,nan,nan,
12,-6.394937499999999,nan,nan,
209,-5.270674999999997,nan,nan,
13,-3.800237499999999,nan,nan,
210,-2.8311249999999943,nan,nan,
14,-5.349137499999989,nan,nan,
211,-5.515187499999996,nan,nan,
15,-6.697175000000004,nan,nan,
212,-5.203487499999999,nan,nan,
16,-5.3309375,nan,nan,
213,-5.921962499999998,nan,nan,
17,-5.338562499999998,nan,nan,
214,-6.1325875,nan,nan,
18,-6.773375000000001,nan,nan,
215,-3.0027000000000004,nan,nan,
19,-4.889849999999998,nan,nan,
216,-3.6703999999999923,nan,nan,
20,-4.570012500000002,nan,nan,
217,-3.4616374999999913,nan,nan,
21,-4.434312499999998,nan,nan,
218,-4.1883375,nan,nan,
22,-2.9855,nan,nan,
219,-4.802137500000004,nan,nan,
23,-3.483412500000004,nan,nan,
220,-4.378525000000002,nan,nan,
24,-6.062587500000003,nan,nan,
221,-4.351825000000002,nan,nan,
25,-6.238724999999999,nan,nan,
222,-4.474687500000002,nan,nan,
26,-2.911825,nan,nan,
223,-7.475774999999999,nan,nan,
27,-5.339437500000005,nan,nan,
224,-3.2273875000000056,nan,nan,
28,-6.835124999999995,nan,nan,
225,-3.2407749999999993,nan,nan,
29,-5.149612500000002,nan,nan,
226,-7.307175000000004,nan,nan,
30,-5.397974999999999,nan,nan,
227,-4.321362499999997,nan,nan,
31,-3.8479375000000027,nan,nan,
228,-3.0114375000000004,nan,nan,
32,-7.295075000000001,nan,nan,
229,-4.476737500000003,nan,nan,
33,-5.3473,nan,nan,
230,-3.477875000000001,nan,nan,
34,-6.564062499999999,nan,nan,
231,-5.095824999999996,nan,nan,
35,-4.015850000000001,nan,nan,
232,-4.534725000000003,nan,nan,
36,-4.1640875,nan,nan,
233,-3.5748125000000024,nan,nan,
37,-6.966450000000001,nan,nan,
234,-4.765112499999999,nan,nan,
38,-4.523924999999999,nan,nan,
235,-4.538237499999998,nan,nan,
39,-5.1431499999999994,nan,nan,
236,-6.389962499999999,nan,nan,
40,-3.835262500000005,nan,nan,
237,-4.572675000000002,nan,nan,
41,-4.915262500000001,nan,nan,
238,-4.406750000000003,nan,nan,
42,-5.655700000000002,nan,nan,
239,-5.426537500000003,nan,nan,
43,-6.654587499999998,nan,nan,
240,-4.696712500000004,nan,nan,
44,-4.411125000000002,nan,nan,
241,-6.02155,nan,nan,
45,-5.133887499999999,nan,nan,
242,-4.530525,nan,nan,
46,-4.070587500000003,nan,nan,
243,-4.797425000000007,nan,nan,
47,-4.1646,nan,nan,
244,-5.552237500000006,nan,nan,
48,-7.254325,nan,nan,
245,-3.8013499999999976,nan,nan,
49,-5.998699999999996,nan,nan,
246,-2.9440500000000007,nan,nan,
50,-4.528212500000006,nan,nan,
247,-2.1406625000000004,nan,nan,
51,-4.382225000000004,nan,nan,
248,-5.1066,nan,nan,
52,-5.8699375,nan,nan,
249,-3.231537500000001,nan,nan,
53,-7.079050000000001,nan,nan,
250,-3.10155,nan,nan,
54,-8.387325000000002,nan,nan,
251,-5.064662499999998,nan,nan,
55,-8.678825000000002,nan,nan,
252,-4.770812499999994,nan,nan,
56,-9.461187500000003,nan,nan,
253,-3.4056999999999937,nan,nan,
57,-10.5347125,nan,nan,
254,-5.781499999999996,nan,nan,
58,-5.5581625000000034,nan,nan,
59,-4.721425000000002,nan,nan,
255,-4.875237499999997,nan,nan,
60,-9.1171875,nan,nan,
256,-2.73385,nan,nan,
61,-6.586962500000001,nan,nan,
257,-5.274600000000007,nan,nan,
62,-6.073137500000001,nan,nan,
258,-4.6950499999999975,nan,nan,
63,-7.673224999999997,nan,nan,
259,-3.240025000000001,nan,nan,
260,-4.515362500000003,nan,nan,
64,-8.253787499999994,nan,nan,
261,-3.108049999999997,nan,nan,
65,-8.832000000000003,nan,nan,
66,-8.175449999999996,nan,nan,
262,-4.895737499999999,nan,nan,
263,-4.458349999999992,nan,nan,
67,-7.7244375000000005,nan,nan,
264,-3.9475749999999934,nan,nan,
68,-8.468587500000003,nan,nan,
265,-4.724650000000003,nan,nan,
69,-6.294112499999999,nan,nan,
266,-4.116512499999993,nan,nan,
70,-6.516350000000003,nan,nan,
267,-2.9783875000000006,nan,nan,
71,-7.038200000000001,nan,nan,
268,-3.8781499999999927,nan,nan,
72,-6.993575000000001,nan,nan,
73,-7.0648374999999985,nan,nan,
269,-6.401675,nan,nan,
74,-6.9620625,nan,nan,
270,-6.656250000000003,nan,nan,
75,-7.180150000000005,nan,nan,
